City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Saint-Leu,RE,82.4,light rain,-21.15,55.2833,La Caz Oceane
5,Salalah,OM,75.2,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
6,Oistins,BB,84.2,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
12,Butaritari,KI,80.73,clear sky,3.0707,172.7902,Isles Sunset Lodge
13,Flic En Flac,MU,81.0,light rain,-20.2742,57.3631,Hilton Mauritius Resort & Spa
16,Banyuwangi,ID,76.21,heavy intensity rain,-8.2325,114.3576,Hotel Blambangan
18,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
19,Benjamin Aceval,PY,84.2,clear sky,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
21,Buala,SB,78.96,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
23,Saint-Philippe,RE,82.4,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
25,Ilo,PE,75.74,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
27,Mayumba,GA,82.51,moderate rain,-3.432,10.6554,LIKWALE LODGE
29,Avarua,CK,77.0,light rain,-21.2078,-159.775,Paradise Inn
30,Rikitea,PF,77.05,overcast clouds,-23.1203,-134.9692,Pension Maro'i
43,Atar,MR,76.89,clear sky,20.5169,-13.0499,Oumou Elghoura
45,Tamandare,BR,85.69,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
49,Carnarvon,AU,78.8,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
51,Harper,LR,84.99,overcast clouds,4.375,-7.7169,Screensaver
54,Meulaboh,ID,80.22,few clouds,4.1363,96.1285,Kost Pria
59,Point Pedro,LK,78.04,scattered clouds,9.8167,80.2333,Gtr homes
69,Galesong,ID,77.0,few clouds,-5.3166,119.3661,Sapriadi Appy
70,Hithadhoo,MV,82.26,broken clouds,-0.6,73.0833,Scoop Guest House
75,Cape Town,ZA,75.0,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
76,Kloulklubed,PW,77.0,light rain,7.0419,134.2556,Storyboard Beach Resort
81,Cidreira,BR,76.77,broken clouds,-30.1811,-50.2056,Hotel Castelo
83,Olinda,BR,84.2,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
85,Puerto Ayora,EC,80.6,clear sky,-0.7393,-90.3518,Castillo Galapagos
86,Porto Novo,BJ,89.6,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
87,Kavieng,PG,82.87,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
88,Maceio,BR,87.8,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
89,Atuona,PF,78.93,scattered clouds,-9.8,-139.0333,Villa Enata
93,Bengkulu,ID,78.31,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
96,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
99,Placido De Castro,BR,87.53,broken clouds,-10.3353,-67.1856,Hotel Carioca
102,Chuy,UY,76.14,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
111,Mahebourg,MU,80.6,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
115,Lorengau,PG,81.91,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
119,Fare,PF,80.94,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
126,San Carlos,VE,88.23,scattered clouds,9.6612,-68.5827,Hotel Paternopoli
127,Ranong,TH,75.76,clear sky,9.9658,98.6348,Tinidee Hotel@Ranong
128,Belmonte,BR,87.8,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
131,Namibe,AO,78.8,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
133,Banjar,ID,77.0,moderate rain,-8.19,114.9675,The Hamsa Resort
137,Vangaindrano,MG,81.41,moderate rain,-23.35,47.6,Hotel Fanilo
140,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
143,Katubao,PH,80.11,overcast clouds,5.8892,124.8294,IML Ecopark
145,Iquitos,PE,80.6,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
146,Kirakira,SB,78.87,broken clouds,-10.4544,161.9205,SanBiz Lodge
149,Faanui,PF,80.78,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
154,Bubaque,GW,80.28,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
162,Bilma,NE,85.03,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
163,Soledade,BR,79.74,clear sky,-28.8183,-52.5103,Pousada Da Gringa
164,Arraial Do Cabo,BR,77.0,light rain,-22.9661,-42.0278,Pousada Porto Praia
171,Nouadhibou,MR,75.2,clear sky,20.930999999999997,-17.0347,El Medina
173,Alta Floresta,BR,82.4,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
178,Koungou,YT,80.6,moderate rain,-12.7336,45.2042,Villa Netibor
180,Sangmelima,CM,85.24,overcast clouds,2.9333,11.9833,gamestar hotel
183,Ciudad Bolivar,VE,85.75,overcast clouds,8.1222,-63.5497,Hotel Edi
185,Bonthe,SL,85.73,few clouds,7.5264,-12.505,Bonthe Holiday Village
187,Ancud,CL,75.2,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
188,Kokopo,PG,79.0,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
192,Maragogi,BR,85.33,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
194,Cayenne,GF,82.4,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
197,Binabalian,PH,80.51,scattered clouds,16.4202,119.9279,Sundowners Vacation Villas
207,Nandaime,NI,84.2,broken clouds,11.757,-86.0529,Hotel Restaurante Plaza Manchon
211,Luanda,AO,84.2,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
