City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Saint-Philippe,RE,-21.3585,55.7679,80.6,61,90,8.05,overcast clouds
1,Yellowknife,CA,62.456,-114.3525,-34.01,67,40,8.05,scattered clouds
2,Geraldton,AU,-28.7667,114.6,73.4,68,40,14.97,scattered clouds
3,Carnarvon,AU,-24.8667,113.6333,82.4,100,40,14.97,scattered clouds
4,Clyde River,CA,70.4692,-68.5914,-7.6,92,1,3.44,mist
5,Alofi,NU,-19.0595,-169.9187,86.0,70,75,10.36,broken clouds
6,Fortuna,US,40.5982,-124.1573,48.0,93,1,5.75,clear sky
7,Chuy,UY,-33.6971,-53.4616,64.98,82,0,6.6,clear sky
8,Busselton,AU,-33.65,115.3333,66.0,97,67,5.01,broken clouds
9,Castro,BR,-24.7911,-50.0119,55.87,76,0,5.68,clear sky
10,Jamestown,US,42.097,-79.2353,12.99,72,90,10.36,light snow
11,Qingdao,CN,36.0986,120.3719,34.0,59,0,4.47,clear sky
12,Kuloy,RU,61.0305,42.4925,-22.7,86,0,6.53,clear sky
13,Sterling,US,39.0062,-77.4286,30.2,59,20,9.22,few clouds
14,Alice Springs,AU,-23.7,133.8833,87.8,20,0,13.8,clear sky
15,Ushuaia,AR,-54.8,-68.3,51.8,82,75,9.22,broken clouds
16,Hilo,US,19.7297,-155.09,77.0,61,75,8.05,broken clouds
17,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,40,9.22,snow
18,Avarua,CK,-21.2078,-159.775,84.2,79,40,9.22,light rain
19,Kaitangata,NZ,-46.2817,169.8464,66.0,79,100,5.01,light rain
20,Atar,MR,20.5169,-13.0499,57.07,39,0,8.55,clear sky
21,Torbay,CA,47.6666,-52.7314,30.0,69,20,32.21,few clouds
22,Rikitea,PF,-23.1203,-134.9692,77.49,71,59,13.18,broken clouds
23,Sibolga,ID,1.7427,98.7792,82.6,64,100,1.63,overcast clouds
24,Severo-Kurilsk,RU,50.6789,156.125,25.81,92,79,20.47,light snow
25,Cockburn Town,TC,21.4612,-71.1419,77.0,83,20,11.5,few clouds
26,Hay River,CA,60.8156,-115.7999,-34.6,67,100,3.44,overcast clouds
27,Lucea,JM,18.451,-78.1736,78.8,73,20,14.97,light rain
28,Klaksvik,FO,62.2266,-6.589,35.6,64,75,17.27,broken clouds
29,Namibe,AO,-15.1961,12.1522,71.8,80,73,4.43,broken clouds
30,Dhidhdhoo,MV,6.8833,73.1,81.39,70,31,8.61,scattered clouds
31,Puerto Maldonado,PE,-12.6,-69.1833,74.82,93,100,0.38,overcast clouds
32,New Norfolk,AU,-42.7826,147.0587,62.01,64,100,1.99,overcast clouds
33,Los Llanos De Aridane,ES,28.6585,-17.9182,60.8,77,75,6.91,broken clouds
34,Shingu,JP,33.7333,135.9833,53.6,54,40,16.11,scattered clouds
35,Upernavik,GL,72.7868,-56.1549,18.01,79,50,4.72,scattered clouds
36,Omboue,GA,-1.5746,9.2618,78.55,86,100,3.71,overcast clouds
37,Pingliang,CN,35.5392,106.6861,38.55,61,0,3.6,clear sky
38,Banda Aceh,ID,5.5577,95.3222,81.52,76,2,9.8,clear sky
39,Laguna,US,38.421,-121.4238,57.99,54,1,3.44,clear sky
40,Yeppoon,AU,-23.1333,150.7333,91.4,52,75,5.75,broken clouds
41,Mahebourg,MU,-20.4081,57.7,78.8,83,40,5.75,scattered clouds
42,Vaini,TO,-21.2,-175.2,77.0,94,90,14.97,moderate rain
43,Butaritari,KI,3.0707,172.7902,80.98,79,27,17.18,scattered clouds
44,Mataura,NZ,-46.1927,168.8643,76.78,33,98,3.13,moderate rain
45,Brae,GB,60.3964,-1.353,31.35,89,86,3.13,overcast clouds
46,Yabassi,CM,4.457,9.9682,80.6,100,75,0.54,broken clouds
47,Victoria,HK,22.2855,114.1577,71.01,80,17,1.99,few clouds
48,Weligama,LK,5.9667,80.4167,76.12,88,32,3.85,scattered clouds
49,Touros,BR,-5.1989,-35.4608,80.6,78,20,10.36,few clouds
50,Puerto Ayora,EC,-0.7393,-90.3518,77.0,95,65,5.46,light rain
51,Mikhaylovka,RU,50.06,43.2379,7.0,80,64,5.99,broken clouds
52,Barrow,US,71.2906,-156.7887,-27.4,75,1,6.91,clear sky
53,Port Blair,IN,11.6667,92.75,79.43,74,2,12.93,clear sky
54,Ilmajoki,FI,62.7333,22.5667,-4.0,84,90,3.51,overcast clouds
55,Klyuchi,RU,52.2667,79.1667,21.31,97,100,9.78,overcast clouds
56,Sinnamary,GF,5.3833,-52.95,77.95,83,100,13.56,overcast clouds
57,Ponta Do Sol,PT,32.6667,-17.1,57.99,74,60,3.0,broken clouds
58,Cidreira,BR,-30.1811,-50.2056,70.36,73,0,7.38,clear sky
59,Aykhal,RU,66.0,111.5,-25.69,84,81,5.1,broken clouds
60,Yerofey Pavlovich,RU,53.9667,121.9667,-8.57,84,95,3.38,overcast clouds
61,Dikson,RU,73.5069,80.5464,-32.17,85,90,17.13,overcast clouds
62,Codrington,AU,-38.2667,141.9667,61.03,67,100,14.67,overcast clouds
63,East London,ZA,-33.0153,27.9116,70.68,83,90,9.33,light rain
64,Berbera,SO,10.4396,45.0143,73.4,73,4,3.42,clear sky
