City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-02-03 20:03:21,-54.8,-68.3,55.4,58,20,17.27
1,Pijijiapan,MX,2021-02-03 20:00:16,15.7011,-93.23,91.47,29,0,9.8
2,Turochak,RU,2021-02-03 20:03:34,52.2576,87.1224,32.27,97,100,8.46
3,Punta Arenas,CL,2021-02-03 20:03:14,-53.15,-70.9167,64.4,59,75,14.97
4,Cherskiy,RU,2021-02-03 20:03:34,68.75,161.3,9.79,86,100,7.38
5,Xichang,CN,2021-02-03 20:03:34,27.8964,102.2634,42.03,65,1,1.34
6,Grand Island,US,2021-02-03 20:03:34,40.925,-98.342,43.0,70,1,12.66
7,Baijiantan,CN,2021-02-03 20:03:34,45.6333,85.1833,12.94,90,27,4.45
8,Seymchan,RU,2021-02-03 20:03:34,62.8833,152.4333,-19.62,86,100,11.7
9,Tuktoyaktuk,CA,2021-02-03 20:03:35,69.4541,-133.0374,-41.8,66,75,4.61
10,Nikolskoye,RU,2021-02-03 20:03:35,59.7035,30.7861,23.0,93,75,13.42
11,Khatanga,RU,2021-02-03 20:03:35,71.9667,102.5,-5.78,91,100,8.77
12,Chuy,UY,2021-02-03 20:03:35,-33.6971,-53.4616,70.32,94,100,16.6
13,New Norfolk,AU,2021-02-03 20:03:35,-42.7826,147.0587,57.99,91,94,1.43
14,Mataura,NZ,2021-02-03 20:03:35,-46.1927,168.8643,51.78,67,54,5.26
15,Pacific Grove,US,2021-02-03 20:03:35,36.6177,-121.9166,55.4,50,1,5.75
16,Bundi,IN,2021-02-03 20:03:36,25.4417,75.6417,70.5,29,96,4.7
17,Bluff,NZ,2021-02-03 20:01:10,-46.6,168.3333,52.34,71,68,14.54
18,Busselton,AU,2021-02-03 20:03:02,-33.65,115.3333,51.01,79,0,18.14
19,Vostok,RU,2021-02-03 20:03:36,46.4856,135.8833,-22.74,87,100,5.12
20,Mahebourg,MU,2021-02-03 20:03:36,-20.4081,57.7,78.8,89,75,4.61
21,Hithadhoo,MV,2021-02-03 20:03:36,-0.6,73.0833,83.16,71,98,6.29
22,Butaritari,KI,2021-02-03 20:03:36,3.0707,172.7902,81.46,84,34,17.18
23,Kapaa,US,2021-02-03 20:03:36,22.0752,-159.319,68.0,88,75,8.05
24,Hazleton,US,2021-02-03 20:02:45,40.9584,-75.9746,28.4,64,90,10.36
25,Severo-Kurilsk,RU,2021-02-03 20:03:36,50.6789,156.125,11.01,92,100,33.8
26,Lamu,KE,2021-02-03 20:03:37,-2.2717,40.902,78.8,78,20,8.05
27,Cidreira,BR,2021-02-03 20:03:37,-30.1811,-50.2056,78.46,87,100,12.26
28,Mar Del Plata,AR,2021-02-03 20:02:07,-38.0023,-57.5575,71.6,68,40,16.11
29,Rikitea,PF,2021-02-03 20:03:02,-23.1203,-134.9692,77.56,74,10,13.76
30,Port Elizabeth,ZA,2021-02-03 20:03:37,-33.918,25.5701,68.0,94,0,8.05
31,Tuatapere,NZ,2021-02-03 20:03:37,-46.1333,167.6833,50.85,76,35,6.91
32,Kidal,ML,2021-02-03 20:03:37,18.4411,1.4078,73.17,16,0,11.27
33,Katobu,ID,2021-02-03 20:03:37,-4.9408,122.5276,76.53,91,100,3.8
34,Hermanus,ZA,2021-02-03 20:03:37,-34.4187,19.2345,64.0,86,1,5.21
35,Maple Creek,CA,2021-02-03 20:03:37,49.9168,-109.4848,6.8,72,100,12.66
36,Sisimiut,GL,2021-02-03 20:03:38,66.9395,-53.6735,-1.35,77,100,10.36
37,East London,ZA,2021-02-03 20:03:38,-33.0153,27.9116,77.29,81,0,3.91
38,Cap Malheureux,MU,2021-02-03 20:03:38,-19.9842,57.6142,79.0,81,4,3.0
39,Potenza,IT,2021-02-03 19:59:00,40.6443,15.8086,48.99,93,40,32.21
40,Vaini,TO,2021-02-03 20:02:59,-21.2,-175.2,80.6,89,75,2.3
41,Lebu,CL,2021-02-03 20:03:38,-37.6167,-73.65,64.18,69,0,13.44
42,Guerrero Negro,MX,2021-02-03 20:02:44,27.9769,-114.0611,70.92,52,55,12.26
43,Inongo,CD,2021-02-03 20:03:38,-1.95,18.2667,79.63,70,88,6.04
44,Hobart,AU,2021-02-03 20:00:19,-42.8794,147.3294,57.99,100,90,4.61
45,Atuona,PF,2021-02-03 20:03:38,-9.8,-139.0333,77.65,75,1,13.38
46,Buala,SB,2021-02-03 20:03:38,-8.145,159.5921,78.69,87,100,12.1
47,Avarua,CK,2021-02-03 20:03:39,-21.2078,-159.775,84.2,74,20,9.22
48,Muros,ES,2021-02-03 20:03:39,42.7762,-9.0603,55.99,75,1,18.01
49,Bonthe,SL,2021-02-03 20:03:39,7.5264,-12.505,80.2,79,0,9.24
50,Kodiak,US,2021-02-03 20:03:39,57.79,-152.4072,28.4,93,1,3.44
51,Mahibadhoo,MV,2021-02-03 20:03:39,3.7833,72.9667,81.61,78,100,22.1
52,Vigia,BR,2021-02-03 20:03:39,-0.8583,-48.1417,77.0,78,75,8.05
53,Byron Bay,AU,2021-02-03 20:03:39,-28.65,153.6167,64.4,100,40,3.44
54,Ilo,PE,2021-02-03 20:02:08,-17.6394,-71.3375,72.59,71,39,6.22
55,Lere,NG,2021-02-03 20:03:39,10.387,8.5726,72.66,19,0,7.09
56,Jamestown,US,2021-02-03 20:03:40,42.097,-79.2353,30.99,69,1,16.11
57,Raga,SS,2021-02-03 20:03:40,8.4596,25.678,79.39,24,64,1.07
58,Te Anau,NZ,2021-02-03 20:03:40,-45.4167,167.7167,48.25,80,68,2.39
59,Puerto Ayora,EC,2021-02-03 20:03:40,-0.7393,-90.3518,86.0,66,0,21.85
60,Wexford,IE,2021-02-03 20:03:40,52.3342,-6.4575,48.0,98,100,5.99
